question,options,correct_label
What type of organism is commonly used in preparation of foods such as cheese and yogurt?,a) gymnosperms b) protozoa c) mesophilic organisms d) viruses,c
What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,a) coriolis effect b) centrifugal effect c) tropical effect d) muon effect,a
Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,a) unbalanced b) exothermic c) reactive d) endothermic,b
What is the least dangerous radioactive decay?,a) beta decay b) gamma decay c) zeta decay d) alpha decay,d
Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,a) greenhouse gases b) carbon and smog c) smoke and ash d) magma,c
"When a meteoroid reaches earth, what is the remaining object called?",a) comet b) meteorite c) meteor d) orbit,b
What kind of a reaction occurs when a substance reacts quickly with oxygen?,a) Fluid Reaction b) invention reaction c) nitrogen reaction d) combustion reaction,d
"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",a) surface species b) ring species c) species complex d) fitting species,b
Alpha emission is a type of what?,a) light b) heat c) radiation d) radioactivity,d
What is the stored food in a seed called?,a) membrane b) endosperm c) larval d) pollin,b
"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",a) Trap metal b) much metal c) active metal d) usually metal,c
What is controlled by both genes and experiences in a given envionment?,a) animal behaviors b) instincts c) reflexes d) learned behaviors,a
What tells you how much of the food you should eat to get the nutrients listed on the label?,a) serving size b) regular size c) longer size d) scoop size,a
What are used to write nuclear equations for radioactive decay?,a) critical symbols b) nuclear symbols c) trigonometric symbols d) radioactive symbols,b
What is controlled by regulatory proteins that bind to regulatory elements on dna?,a) substance transcription b) amino acids c) gene transcription d) mRNA,c
Boron only occurs naturally in compounds with what element?,a) oxygen b) carbon c) nitrogen d) helium,a
What organ systems link exchange surfaces with cells throughout the body?,a) vascular b) circulatory c) pulmonary d) nervous,b
What occurs when the immune system attacks a harmless substance that enters the body from the outside?,a) panic attack b) allergy c) plague d) nausea,b
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a) a zygote b) a nuclei c) a cytoplasm d) a bacteriophage,a
The plants alternation between haploid and diploud generations allow it to do what?,a) reproduce asexually and biologically b) reproduce asexually and simultaneously c) reproduce sexually and autonomously d) reproduce asexually and sexually,d
Most of the chemical reactions in the body are facilitated by what?,a) carbohydrates b) vitamins c) enzymes d) proteins,c
What is the termination of a pregnancy in progress called?,a) delivery b) abortion c) miscarriage d) contraception,b
